Model,TP,FN,FP,TN,OA,AA,P,R,F1,FAR(FPR),TPR
NN-100,17542.125,2457.875,1656.0,78344.0,0.9588612499999999,0.9282031249999998,0.9137412902775061,0.87710625,0.8950483102138941,0.0207,0.87710625
CNN-100,17977.625,2022.375,2262.0,77738.0,0.95715625,0.9353031249999999,0.8882387409958348,0.89888125,0.893527716913969,0.028274999999999998,0.89888125
ANN-100,18203.0,1797.0,1489.0,78511.0,0.96714,0.94576875,0.9243854736833443,0.91015,0.9172123124377144,0.0186125,0.91015
ACNN-100,18183.875,1816.125,1642.0,78358.0,0.9654187500000001,0.9443343750000002,0.9171788678407264,0.90919375,0.9131686564593227,0.020525,0.90919375
MINDFUL100,19657.375,342.625,1757.0,78243.0,0.97900375,0.9804531249999999,0.9179522420790164,0.98286875,0.9493017909641563,0.0219625,0.98286875
NN-75,13087.125,1912.875,1998.0,78002.0,0.9588328947368421,0.9237500000000001,0.8675510403299185,0.872475,0.8700050595165802,0.024975,0.872475
CNN-75,11992.0,3008.0,1201.0,78799.0,0.9556947368421052,0.8922270833333333,0.9089646720113653,0.7994666666666667,0.8507015070151884,0.0150125,0.7994666666666667
ANN-75,11855.25,3144.75,1734.0,78266.0,0.9486447368421053,0.8843375,0.8723972557385606,0.79035,0.8293462817290251,0.021675,0.79035
ACNN-75,14452.5,547.5,8664.0,71336.0,0.9030368421052632,0.9276000000000001,0.625201954473052,0.9635,0.7583320030420979,0.10829999999999998,0.9635
MINDFUL75,14706.875,293.125,1707.0,78293.0,0.9789460526315789,0.9795604166666668,0.8960024614999306,0.9804583333333333,0.9363294442692659,0.021337500000000002,0.9804583333333333
NN-50,7254.625,2745.375,449.0,79551.0,0.9645069444444445,0.8599249999999999,0.9417151427931653,0.7254625,0.8195614580901225,0.0056125,0.7254625
CNN-50,7466.25,2533.75,876.0,79124.0,0.9621138888888888,0.8678374999999998,0.8949907963882293,0.746625,0.8141003983324782,0.01095,0.746625
ANN-50,7424.0,2576.0,312.0,79688.0,0.9679111111111112,0.86925,0.9596685966304146,0.7424,0.8371646958788396,0.0039000000000000003,0.7424
ACNN-50,7451.25,2548.75,507.0,79493.0,0.9660472222222223,0.8693937500000001,0.9362911357789732,0.7451249999999999,0.8298364158263786,0.006337500000000001,0.7451249999999999
MINDFUL50,9168.25,831.75,1013.0,78987.0,0.9795027777777778,0.9520812500000001,0.9005028694527074,0.916825,0.9085894794713351,0.012662499999999997,0.916825
NN-25,3522.0,1478.0,252.0,79748.0,0.9796470588235293,0.8506250000000001,0.9332261732772299,0.7044000000000001,0.8028226456219205,0.00315,0.7044000000000001
CNN-25,2281.375,2718.625,68.0,79932.0,0.9672161764705882,0.7277125,0.9710541713168689,0.45627500000000004,0.6208255352122365,0.00085,0.45627500000000004
ANN-25,2803.875,2196.125,49.0,79951.0,0.9735867647058822,0.78008125,0.9828230605050163,0.560775,0.714088886418855,0.0006125000000000001,0.560775
ACNN-25,3733.875,1266.125,418.0,79582.0,0.9801867647058823,0.870775,0.8993195560859246,0.746775,0.8159729740695166,0.005225,0.746775
MINDFUL25,3932.25,1067.75,89.0,79911.0,0.9863911764705882,0.89266875,0.9778672117661855,0.78645,0.8717712651716678,0.0011125,0.78645
NN-5,376.125,623.875,12.0,79988.0,0.9921496913580246,0.6879875,0.9690615412897196,0.376125,0.5418433742501925,0.00015,0.376125
CNN-5,387.75,612.25,14.0,79986.0,0.9922685185185186,0.6937875,0.9651259579274668,0.38775000000000004,0.5531477574882707,0.000175,0.38775000000000004
ANN-5,407.0,593.0,15.0,79985.0,0.9924938271604938,0.70340625,0.9644104356270344,0.407,0.5722772805489289,0.00018749999999999998,0.407
ACNN-5,405.75,594.25,18.0,79982.0,0.9924413580246914,0.7027625,0.9574743993225039,0.40575,0.5698325345702614,0.00022499999999999997,0.40575
MINDFUL5,716.25,283.75,55.0,79945.0,0.9958179012345679,0.8577812499999999,0.9286790210061855,0.7162499999999999,0.808725154257961,0.0006874999999999999,0.7162499999999999
